"","GID_0","NAME_0","Year","Distance","NAME_1","buffer_area_km2","pop"
"1","USA","United States","2019","5km","Florida",779.621835328692,1217010
"2","USA","United States","2019","5km","Hawaii",2772.83984922642,929473
