"","ISO3","NAME_0","Year","Distance","buffer_area_km2","pop"
"1","ABW","Aruba","3018","10km",181.938402839686,99297
"2","AIA","Anguilla","3018","10km",82.7588064675836,15465
"3","ARE","United Arab Emirates","3018","10km",2234.40794976623,3791412
"4","ASM","American Samoa","3018","10km",223.40214236525,46785
"5","ATF","French Southern Territories","3018","10km",43.5804712349177,0
"6","ATG","Antigua and Barbuda","3018","10km",434.942995202419,92417
"7","AUS","Australia","3018","10km",37467.2381507462,713841
"8","BES","Bonaire, Sint Eustatius and Saba","3018","10km",320.432183927288,22263
"9","BHR","Bahrain","3018","10km",715.125475983707,1295235
"10","BHS","Bahamas","3018","10km",9409.58825044221,316168
"11","BLM","Saint-Barthélemy","3018","10km",24.7077714822599,5811
"12","BLZ","Belize","3018","10km",1392.39591409803,97361
"13","BMU","Bermuda","3018","10km",68.0627244870921,65494
"14","BRA","Brazil","3018","10km",8739.83806435795,7562703
"15","BRB","Barbados","3018","10km",434.639641225766,289483
"16","BRN","Brunei","3018","10km",89.2164950154333,32299
"17","CCK","Cocos Islands","3018","10km",13.7097441616949,471
"18","CHN","China","3018","10km",4389.68503058062,3343652
"19","COK","Cook Islands","3018","10km",261.315290585645,7090
"20","COL","Colombia","3018","10km",3469.83813656269,1540517
"21","COM","Comoros","3018","10km",1667.00581588111,742138
"22","CRI","Costa Rica","3018","10km",3847.08832227332,193014
"23","CUB","Cuba","3018","10km",19123.2493065709,3340815
"24","CUW","Curaçao","3018","10km",436.34211722174,148853
"25","CXR","Christmas Island","3018","10km",139.61034367312,1713
"26","CYM","Cayman Islands","3018","10km",280.407609765878,55678
"27","DJI","Djibouti","3018","10km",2902.6874207106,633497
"28","DMA","Dominica","3018","10km",753.390461125835,66899
"29","DOM","Dominican Republic","3018","10km",8657.78679082833,4202944
"30","ECU","Ecuador","3018","10km",2372.52464392816,11273
"31","EGY","Egypt","3018","10km",15184.5958550326,1072674
"32","ERI","Eritrea","3018","10km",7348.38299678321,286792
"33","FJI","Fiji","3018","10km",10341.3290230325,703927
"34","FSM","Micronesia","3018","10km",774.856625280964,77525
"35","GLP","Guadeloupe","3018","10km",1238.31855788424,309924
"36","GRD","Grenada","3018","10km",359.530958549701,105902
"37","GTM","Guatemala","3018","10km",121.676344112251,15767
"38","GUM","Guam","3018","10km",549.794316053389,164389
"39","HKG","Hong Kong","3018","10km",75.6828056912438,1403
"40","HND","Honduras","3018","10km",918.350397972399,175594
"41","HTI","Haiti","3018","10km",10200.9109534809,6736398
"42","IDN","Indonesia","3018","10km",210602.761073363,37212686
"43","IND","India","3018","10km",17354.5332172695,22212502
"44","IOT","British Indian Ocean Territory","3018","10km",64.4476741696049,0
"45","IRN","Iran","3018","10km",3702.13918195146,704725
"46","ISR","Israel","3018","10km",91.3323713768897,59058
"47","JAM","Jamaica","3018","10km",4781.17925392467,1582038
"48","JOR","Jordan","3018","10km",305.324037074377,136170
"49","JPN","Japan","3018","10km",4161.16849511745,1468483
"50","KEN","Kenya","3018","10km",4111.07493005714,1980834
"51","KHM","Cambodia","3018","10km",764.706446598053,150202
"52","KIR","Kiribati","3018","10km",1012.08209593034,66664
"53","KNA","Saint Kitts and Nevis","3018","10km",267.120724961901,50772
"54","KWT","Kuwait","3018","10km",384.932223322278,1236044
"55","LCA","Saint Lucia","3018","10km",608.447381779905,157599
"56","LKA","Sri Lanka","3018","10km",3208.28366172376,2306657
"57","MAF","Saint-Martin","3018","10km",56.1677442916258,28935
"58","MDG","Madagascar","3018","10km",21574.3952514095,2351441
"59","MDV","Maldives","3018","10km",299.684623448732,253630
"60","MEX","Mexico","3018","10km",22628.9860188234,4629046
