"","GID_0","NAME_0","Year","Distance","NAME_1","buffer_area_km2","pop"
"1","USA","United States","2019","100km","Arizona",2035.20237363777,6
"2","USA","United States","2019","100km","California",6745.96010321193,3371345
"3","USA","United States","2019","100km","Florida",28877.1218495617,6726816
"4","USA","United States","2019","100km","Hawaii",16724.2908474889,1379623
