"","ISO3","NAME_0","Year","Distance","buffer_area_km2","pop"
"1","ABW","Aruba","2020","10km",181.938402839686,113056
"2","AIA","Anguilla","2020","10km",82.7588064675836,16137
"3","ARE","United Arab Emirates","2020","10km",2234.40794976623,3649301
"4","ASM","American Samoa","2020","10km",223.40214236525,43949
"5","ATF","French Southern Territories","2020","10km",43.5804712349177,0
"6","ATG","Antigua and Barbuda","2020","10km",434.942995202419,93127
"7","AUS","Australia","2020","10km",37467.2381507462,753946
"8","BES","Bonaire, Sint Eustatius and Saba","2020","10km",320.432183927288,22612
"9","BHR","Bahrain","2020","10km",715.125475983707,1348131
"10","BHS","Bahamas","2020","10km",9409.58825044221,315462
"11","BLM","Saint-Barthélemy","2020","10km",24.7077714822599,6333
"12","BLZ","Belize","2020","10km",1392.39591409803,100783
"13","BMU","Bermuda","2020","10km",68.0627244870921,65667
"14","BRA","Brazil","2020","10km",8739.83806435795,7628352
"15","BRB","Barbados","2020","10km",434.639641225766,290125
"16","BRN","Brunei","2020","10km",89.2164950154333,28340
"17","CCK","Cocos Islands","2020","10km",13.7097441616949,493
"18","CHN","China","2020","10km",4389.68503058062,3304361
"19","COK","Cook Islands","2020","10km",261.315290585645,6431
"20","COL","Colombia","2020","10km",3469.83813656269,1574773
"21","COM","Comoros","2020","10km",1667.00581588111,782145
"22","CRI","Costa Rica","2020","10km",3847.08832227332,205472
"23","CUB","Cuba","2020","10km",19123.2493065709,2816025
"24","CUW","Curaçao","2020","10km",436.34211722174,147895
"25","CXR","Christmas Island","2020","10km",139.61034367312,1702
"26","CYM","Cayman Islands","2020","10km",280.407609765878,56634
"27","DJI","Djibouti","2020","10km",2902.6874207106,664884
"28","DMA","Dominica","2020","10km",753.390461125835,66478
"29","DOM","Dominican Republic","2020","10km",8657.78679082833,4401430
"30","ECU","Ecuador","2020","10km",2372.52464392816,11772
"31","EGY","Egypt","2020","10km",15184.5958550326,1080474
"32","ERI","Eritrea","2020","10km",7348.38299678321,292122
