"","ISO3","NAME_0","Year","Distance","buffer_area_km2","pop"
"1","ABW","Aruba","2020","30km",181.938402839686,113056
"2","AIA","Anguilla","2020","30km",82.7588064675837,16137
"3","ARE","United Arab Emirates","2020","30km",10892.6045286271,5845052
"4","ASM","American Samoa","2020","30km",223.40214236525,43949
"5","ATF","French Southern Territories","2020","30km",43.5804712349177,0
"6","ATG","Antigua and Barbuda","2020","30km",435.809951969794,93127
"7","AUS","Australia","2020","30km",143075.518924887,4960969
"8","BES","Bonaire, Sint Eustatius and Saba","2020","30km",323.694202070856,22958
"9","BGD","Bangladesh","2020","30km",88.7567259970049,97466
"10","BHR","Bahrain","2020","30km",715.125475983707,1348131
"11","BHS","Bahamas","2020","30km",13374.8721897843,315775
"12","BLM","Saint-Barthélemy","2020","30km",24.7077714822599,6333
"13","BLZ","Belize","2020","30km",7000.60057590832,176321
"14","BMU","Bermuda","2020","30km",68.0627244870921,65667
"15","BRA","Brazil","2020","30km",34621.1319785562,13120663
"16","BRB","Barbados","2020","30km",434.639641225766,290125
"17","BRN","Brunei","2020","30km",1484.49174832892,416723
"18","CCK","Cocos Islands","2020","30km",13.7097441616949,493
"19","CHN","China","2020","30km",18432.419437931,17992330
"20","COK","Cook Islands","2020","30km",261.315290585645,6431
"21","COL","Colombia","2020","30km",18533.5492011287,2686146
"22","COM","Comoros","2020","30km",1673.14999173558,782145
"23","CRI","Costa Rica","2020","30km",16228.3031688403,795812
"24","CUB","Cuba","2020","30km",59046.7631414614,6069921
"25","CUW","Curaçao","2020","30km",437.711430289881,147895
"26","CXR","Christmas Island","2020","30km",139.61034367312,1702
"27","CYM","Cayman Islands","2020","30km",280.407609765878,56634
"28","DJI","Djibouti","2020","30km",9319.97499079508,697132
"29","DMA","Dominica","2020","30km",754.214293754349,66478
"30","DOM","Dominican Republic","2020","30km",24919.0859046312,7244421
"31","ECU","Ecuador","2020","30km",6791.74432561609,30886
"32","EGY","Egypt","2020","30km",43824.1622325736,1220285
"33","ERI","Eritrea","2020","30km",20076.039126524,382551
"34","FJI","Fiji","2020","30km",17493.9654849689,881824
"35","FSM","Micronesia","2020","30km",774.856625280964,79146
"36","GLP","Guadeloupe","2020","30km",1650.23696712203,361177
"37","GRD","Grenada","2020","30km",359.530958549701,106982
"38","GTM","Guatemala","2020","30km",1867.25019684576,134489
"39","GUM","Guam","2020","30km",549.794316053389,165836
"40","HKG","Hong Kong","2020","30km",634.647179124632,4716332
"41","HND","Honduras","2020","30km",6319.50379718608,741514
"42","HTI","Haiti","2020","30km",21175.0437293777,9667952
"43","IDN","Indonesia","2020","30km",490241.270568551,104960063
"44","IND","India","2020","30km",58179.0326566174,53724462
"45","IOT","British Indian Ocean Territory","2020","30km",64.4476741696049,0
"46","IRN","Iran","2020","30km",17479.9976225704,1225385
"47","ISR","Israel","2020","30km",438.871679457676,61362
"48","JAM","Jamaica","2020","30km",10524.8669305559,2704550
"49","JOR","Jordan","2020","30km",1332.91854689282,158014
"50","JPN","Japan","2020","30km",4668.72461647162,1539702
"51","KEN","Kenya","2020","30km",13564.808366052,3438555
"52","KHM","Cambodia","2020","30km",4291.09000785196,573649
"53","KIR","Kiribati","2020","30km",1012.08209593034,67096
"54","KNA","Saint Kitts and Nevis","2020","30km",267.120724961901,50873
"55","KWT","Kuwait","2020","30km",3372.19596373234,2452248
"56","LCA","Saint Lucia","2020","30km",614.429762727122,159942
