"","GID_0","NAME_0","Year","Distance","NAME_1","buffer_area_km2","pop"
"1","USA","United States","2020","10km","Florida",1827.32191520039,2794625
"2","USA","United States","2020","10km","Hawaii",5354.17850379647,1166987
