"","ISO3","NAME_0","Year","Distance","buffer_area_km2","pop"
"1","ABW","Aruba","2020","50km",181.938402839687,113056
"2","AIA","Anguilla","2020","50km",83.3033093991381,16137
"3","ARE","United Arab Emirates","2020","50km",21739.9578305422,7104915
"4","ASM","American Samoa","2020","50km",223.40214236525,43949
"5","ATF","French Southern Territories","2020","50km",43.5804712349177,0
"6","ATG","Antigua and Barbuda","2020","50km",435.809951969795,93127
"7","AUS","Australia","2020","50km",268961.345175834,7992768
"8","BES","Bonaire, Sint Eustatius and Saba","2020","50km",323.694202070856,22958
"9","BGD","Bangladesh","2020","50km",239.252465441537,340614
"10","BHR","Bahrain","2020","50km",715.125475983706,1348131
"11","BHS","Bahamas","2020","50km",13388.0799764506,315775
"12","BLM","Saint-Barthélemy","2020","50km",24.7077714822599,6333
"13","BLZ","Belize","2020","50km",13281.321391174,230324
"14","BMU","Bermuda","2020","50km",68.0627244870921,65667
"15","BRA","Brazil","2020","50km",64665.8667273675,15640615
"16","BRB","Barbados","2020","50km",434.639641225766,290125
"17","BRN","Brunei","2020","50km",3260.7735763333,454605
"18","CCK","Cocos Islands","2020","50km",13.7097441616949,493
"19","CHN","China","2020","50km",40031.7239851673,37344981
"20","COK","Cook Islands","2020","50km",261.315290585645,6431
"21","COL","Colombia","2020","50km",39544.4628073643,5901055
"22","COM","Comoros","2020","50km",1673.14999173558,782145
"23","CRI","Costa Rica","2020","50km",29030.2596558938,1433592
"24","CUB","Cuba","2020","50km",96769.479352702,9426893
"25","CUW","Curaçao","2020","50km",437.711430289881,147895
"26","CXR","Christmas Island","2020","50km",139.61034367312,1702
"27","CYM","Cayman Islands","2020","50km",280.407609765878,56634
"28","DJI","Djibouti","2020","50km",15097.33545986,855091
"29","DMA","Dominica","2020","50km",754.214293754348,66478
"30","DOM","Dominican Republic","2020","50km",36887.7226910721,9476298
"31","ECU","Ecuador","2020","50km",7799.14323953488,30890
"32","EGY","Egypt","2020","50km",72238.5523162878,1351748
"33","ERI","Eritrea","2020","50km",34578.8292584892,728445
"34","ETH","Ethiopia","2020","50km",187.370366665602,325
"35","FJI","Fiji","2020","50km",18963.4827215618,893727
"36","FSM","Micronesia","2020","50km",774.856625280964,79146
"37","GLP","Guadeloupe","2020","50km",1650.23696712203,361177
"38","GRD","Grenada","2020","50km",359.530958549701,106982
"39","GTM","Guatemala","2020","50km",5222.92405130663,622488
"40","GUM","Guam","2020","50km",549.794316053389,165836
"41","HKG","Hong Kong","2020","50km",1035.42436463238,6940558
"42","HND","Honduras","2020","50km",13844.1549259973,1966700
"43","HTI","Haiti","2020","50km",24955.5990991054,10365561
"44","IDN","Indonesia","2020","50km",682744.212219976,156882793
"45","IND","India","2020","50km",109698.569128422,77961823
"46","IOT","British Indian Ocean Territory","2020","50km",64.4476741696049,0
"47","IRN","Iran","2020","50km",39835.1454994395,2155240
"48","IRQ","Iraq","2020","50km",8.52055737615712,245
"49","ISR","Israel","2020","50km",956.712163431903,64627
"50","JAM","Jamaica","2020","50km",11000.0339419277,2773100
"51","JOR","Jordan","2020","50km",2987.80129346386,182349
