"","ISO3","NAME_0","Year","Distance","buffer_area_km2","pop"
"1","ABW","Aruba","3018","30km",181.938402839686,99297
"2","AIA","Anguilla","3018","30km",82.7588064675837,15465
"3","ARE","United Arab Emirates","3018","30km",10892.6045286271,5779157
"4","ASM","American Samoa","3018","30km",223.40214236525,46785
"5","ATF","French Southern Territories","3018","30km",43.5804712349177,0
"6","ATG","Antigua and Barbuda","3018","30km",435.809951969794,92417
"7","AUS","Australia","3018","30km",143075.518924887,4664019
"8","BES","Bonaire, Sint Eustatius and Saba","3018","30km",323.694202070856,22628
"9","BGD","Bangladesh","3018","30km",88.7567259970049,89391
"10","BHR","Bahrain","3018","30km",715.125475983707,1295235
"11","BHS","Bahamas","3018","30km",13374.8721897843,316398
"12","BLM","Saint-Barthélemy","3018","30km",24.7077714822599,5811
"13","BLZ","Belize","3018","30km",7000.60057590832,166822
"14","BMU","Bermuda","3018","30km",68.0627244870921,65494
"15","BRA","Brazil","3018","30km",34621.1319785562,13011078
"16","BRB","Barbados","3018","30km",434.639641225766,289483
"17","BRN","Brunei","3018","30km",1484.49174832892,404060
"18","CCK","Cocos Islands","3018","30km",13.7097441616949,471
"19","CHN","China","3018","30km",18432.419437931,18486493
"20","COK","Cook Islands","3018","30km",261.315290585645,7090
"21","COL","Colombia","3018","30km",18533.5492011287,2581125
"22","COM","Comoros","3018","30km",1673.14999173558,742138
"23","CRI","Costa Rica","3018","30km",16228.3031688403,763352
"24","CUB","Cuba","3018","30km",59046.7631414614,6649407
"25","CUW","Curaçao","3018","30km",437.711430289881,148853
"26","CXR","Christmas Island","3018","30km",139.61034367312,1713
"27","CYM","Cayman Islands","3018","30km",280.407609765878,55678
"28","DJI","Djibouti","3018","30km",9319.97499079508,661685
"29","DMA","Dominica","3018","30km",754.214293754349,66899
"30","DOM","Dominican Republic","3018","30km",24919.0859046312,6947637
"31","ECU","Ecuador","3018","30km",6791.74432561609,29241
"32","EGY","Egypt","3018","30km",43824.1622325736,1198644
"33","ERI","Eritrea","3018","30km",20076.039126524,375363
"34","FJI","Fiji","3018","30km",17493.9654849689,874863
"35","FSM","Micronesia","3018","30km",774.856625280964,77525
"36","GLP","Guadeloupe","3018","30km",1650.23696712203,376662
"37","GRD","Grenada","3018","30km",359.530958549701,105902
"38","GTM","Guatemala","3018","30km",1867.25019684576,133936
"39","GUM","Guam","3018","30km",549.794316053389,164389
"40","HKG","Hong Kong","3018","30km",634.647179124632,4654604
"41","HND","Honduras","3018","30km",6319.50379718608,740091
"42","HTI","Haiti","3018","30km",21175.0437293777,9446747
"43","IDN","Indonesia","3018","30km",490241.270568551,103861313
"44","IND","India","3018","30km",58179.0326566174,52483027
"45","IOT","British Indian Ocean Territory","3018","30km",64.4476741696049,0
"46","IRN","Iran","3018","30km",17479.9976225704,1165102
"47","ISR","Israel","3018","30km",438.871679457676,59680
"48","JAM","Jamaica","3018","30km",10524.8669305559,2734461
"49","JOR","Jordan","3018","30km",1332.91854689282,138960
"50","JPN","Japan","3018","30km",4668.72461647162,1477263
"51","KEN","Kenya","3018","30km",13564.808366052,2779420
"52","KHM","Cambodia","3018","30km",4291.09000785196,558586
"53","KIR","Kiribati","3018","30km",1012.08209593034,66664
"54","KNA","Saint Kitts and Nevis","3018","30km",267.120724961901,50772
"55","KWT","Kuwait","3018","30km",3372.19596373234,2475207
"56","LCA","Saint Lucia","3018","30km",614.429762727122,157599
"57","LKA","Sri Lanka","3018","30km",15361.3023217586,5254228
"58","MAF","Saint-Martin","3018","30km",56.1677442916259,28935
"59","MDG","Madagascar","3018","30km",79187.6202112679,4575876
"60","MDV","Maldives","3018","30km",299.684623448732,253630
"61","MEX","Mexico","3018","30km",121407.925198156,9917466
"62","MHL","Marshall Islands","3018","30km",300.282751393591,31827
"63","MMR","Myanmar","3018","30km",22427.301147937,1380056
"64","MNP","Northern Mariana Islands","3018","30km",332.699275287931,49057
"65","MOZ","Mozambique","3018","30km",34541.7390629812,2748002
"66","MSR","Montserrat","3018","30km",100.645473903565,5208
"67","MTQ","Martinique","3018","30km",1117.98246840907,349629
"68","MUS","Mauritius","3018","30km",2027.40992123574,1318461
"69","MYS","Malaysia","3018","30km",35065.6161487195,7346011
"70","MYT","Mayotte","3018","30km",391.665902424275,243737
"71","NCL","New Caledonia","3018","30km",18825.3934459647,267068
"72","NIC","Nicaragua","3018","30km",2375.03913831073,43658
"73","NIU","Niue","3018","30km",266.670100392882,1509
"74","NRU","Nauru","3018","30km",22.1510580966136,5857
"75","OMN","Oman","3018","30km",24094.1830105833,1767644
"76","PAN","Panama","3018","30km",25277.2565545916,2261044
"77","PCN","Pitcairn Islands","3018","30km",54.1939752707576,15
"78","PHL","Philippines","3018","30km",204864.239103245,58609077
"79","PLW","Palau","3018","30km",487.506089064966,19137
"80","PNG","Papua New Guinea","3018","30km",98526.8299501269,2143552
"81","PRI","Puerto Rico","3018","30km",8970.45010990082,3259873
"82","PYF","French Polynesia","3018","30km",3063.78448663383,218978
"83","QAT","Qatar","3018","30km",6797.17626561575,2246494
"84","REU","Reunion","3018","30km",1968.46973711402,639800
"85","SAU","Saudi Arabia","3018","30km",65134.0920543634,9422261
"86","SDN","Sudan","3018","30km",18380.5410007278,1164940
"87","SGP","Singapore","3018","30km",697.024675790076,5973866
"88","SLB","Solomon Islands","3018","30km",28262.4960481698,516228
"89","SOM","Somalia","3018","30km",15845.2660476253,2451895
"90","SXM","Sint Maarten","3018","30km",38.007183115797,40545
"91","SYC","Seychelles","3018","30km",490.164991181113,84464
"92","TCA","Turks and Caicos Islands","3018","30km",991.45112604364,50471
"93","THA","Thailand","3018","30km",21231.8085903103,3927660
"94","TKL","Tokelau","3018","30km",15.667142769532,290
"95","TLS","Timor-Leste","3018","30km",12141.6463923683,1094266
"96","TON","Tonga","3018","30km",710.918665431546,97891
"97","TTO","Trinidad and Tobago","3018","30km",1373.12110075031,126200
"98","TUV","Tuvalu","3018","30km",41.7256053057579,5959
"99","TWN","Taiwan","3018","30km",9799.28134820353,8945391
"100","TZA","Tanzania","3018","30km",26726.7787988852,8682974
"101","UMI","United States Minor Outlying Islands","3018","30km",47.2682503712191,25
"102","USA","United States","3018","30km",19220.6818978897,7778692
"103","VCT","Saint Vincent and the Grenadines","3018","30km",397.945402476239,91385
"104","VEN","Venezuela","3018","30km",15143.8345547713,7703630
"105","VGB","British Virgin Islands","3018","30km",169.356708834683,33360
"106","VIR","Virgin Islands, U.S.","3018","30km",362.159801764775,101492
"107","VNM","Vietnam","3018","30km",26240.3894685524,11329575
"108","VUT","Vanuatu","3018","30km",12310.2208953126,251629
"109","WLF","Wallis and Futuna","3018","30km",155.740831769511,13371
"110","WSM","Samoa","3018","30km",2853.35947333388,179063
"111","XCL","Clipperton Island","3018","30km",10.0973004127489,0
"112","XPI","Paracel Islands","3018","30km",19.6775404555954,243
"113","XSP","Spratly Islands","3018","30km",1.87468551044417,58
"114","YEM","Yemen","3018","30km",20323.2962559217,2359799
"115","ZAF","South Africa","3018","30km",1062.39682248976,40945
