"","GID_0","NAME_0","Year","Distance","NAME_1","buffer_area_km2","pop"
"1","USA","United States","3018","5km","Florida",779.621835328692,1225119
"2","USA","United States","3018","5km","Hawaii",2772.83984922642,933220
