"","ISO3","NAME_0","Year","Distance","buffer_area_km2","pop"
"1","ABW","Aruba","2019","50km",181.938402839687,104849
"2","AIA","Anguilla","2019","50km",83.3033093991381,15733
"3","ARE","United Arab Emirates","2019","50km",21739.9578305422,7009882
"4","ASM","American Samoa","2019","50km",223.40214236525,46148
"5","ATF","French Southern Territories","2019","50km",43.5804712349177,0
"6","ATG","Antigua and Barbuda","2019","50km",435.809951969795,92593
"7","AUS","Australia","2019","50km",268961.345175834,7876890
"8","BES","Bonaire, Sint Eustatius and Saba","2019","50km",323.694202070856,22989
"9","BGD","Bangladesh","2019","50km",239.252465441537,344167
"10","BHR","Bahrain","2019","50km",715.125475983706,1323367
"11","BHS","Bahamas","2019","50km",13388.0799764506,317939
"12","BLM","Saint-Barthélemy","2019","50km",24.7077714822599,6206
"13","BLZ","Belize","2019","50km",13281.321391174,223692
"14","BMU","Bermuda","2019","50km",68.0627244870921,65552
"15","BRA","Brazil","2019","50km",64665.8667273675,15547797
"16","BRB","Barbados","2019","50km",434.639641225766,290171
"17","BRN","Brunei","2019","50km",3260.7735763333,448404
"18","CCK","Cocos Islands","2019","50km",13.7097441616949,485
"19","CHN","China","2019","50km",40031.7239851673,37717853
"20","COK","Cook Islands","2019","50km",261.315290585645,6958
"21","COL","Colombia","2019","50km",39544.4628073643,5768908
"22","COM","Comoros","2019","50km",1673.14999173558,770719
"23","CRI","Costa Rica","2019","50km",29030.2596558938,1392392
"24","CUB","Cuba","2019","50km",96769.479352702,9479501
"25","CUW","Curaçao","2019","50km",437.711430289881,148818
"26","CXR","Christmas Island","2019","50km",139.61034367312,1721
"27","CYM","Cayman Islands","2019","50km",280.407609765878,56495
"28","DJI","Djibouti","2019","50km",15097.33545986,830731
"29","DMA","Dominica","2019","50km",754.214293754348,67142
"30","DOM","Dominican Republic","2019","50km",36887.7226910721,9389867
"31","ECU","Ecuador","2019","50km",7799.14323953488,30529
"32","EGY","Egypt","2019","50km",72238.5523162878,1322634
"33","ERI","Eritrea","2019","50km",34578.8292584892,721583
"34","ETH","Ethiopia","2019","50km",187.370366665602,268
"35","FJI","Fiji","2019","50km",18963.4827215618,891291
"36","FSM","Micronesia","2019","50km",774.856625280964,78346
"37","GLP","Guadeloupe","2019","50km",1650.23696712203,370712
"38","GRD","Grenada","2019","50km",359.530958549701,106008
"39","GTM","Guatemala","2019","50km",5222.92405130663,620006
"40","GUM","Guam","2019","50km",549.794316053389,164389
"41","HKG","Hong Kong","2019","50km",1035.42436463238,6920303
"42","HND","Honduras","2019","50km",13844.1549259973,1932271
"43","HTI","Haiti","2019","50km",24955.5990991054,10237952
"44","IDN","Indonesia","2019","50km",682744.212219976,156010650
"45","IND","India","2019","50km",109698.569128422,77111311
"46","IOT","British Indian Ocean Territory","2019","50km",64.4476741696049,0
"47","IRN","Iran","2019","50km",39835.1454994395,2128184
"48","IRQ","Iraq","2019","50km",8.52055737615712,253
"49","ISR","Israel","2019","50km",956.712163431903,63159
"50","JAM","Jamaica","2019","50km",11000.0339419277,2772441
"51","JOR","Jordan","2019","50km",2987.80129346386,179895
"52","JPN","Japan","2019","50km",5064.93094272673,1482920
"53","KEN","Kenya","2019","50km",23124.5632751612,3732680
"54","KHM","Cambodia","2019","50km",10137.2355282511,997851
"55","KIR","Kiribati","2019","50km",1012.08209593034,66230
"56","KNA","Saint Kitts and Nevis","2019","50km",267.120724961901,50985
"57","KWT","Kuwait","2019","50km",8264.732755232,2816918
"58","LCA","Saint Lucia","2019","50km",614.429762727122,158250
"59","LKA","Sri Lanka","2019","50km",29645.885379663,9304573
"60","MAF","Saint-Martin","2019","50km",56.1677442916259,29433
"61","MDG","Madagascar","2019","50km",142822.971712817,6965786
"62","MDV","Maldives","2019","50km",299.684623448732,254802
"63","MEX","Mexico","2019","50km",254865.498515207,15178120
