"","GID_0","NAME_0","Year","Distance","NAME_1","buffer_area_km2","pop"
"1","USA","United States","3018","30km","California",122.809669863431,272393
"2","USA","United States","3018","30km","Florida",7099.07513890632,6134731
"3","USA","United States","3018","30km","Hawaii",11998.79708912,1371568
