"","GID_0","NAME_0","Year","Distance","NAME_1","buffer_area_km2","pop"
"1","USA","United States","2019","10km","Florida",1827.32191520039,2783779
"2","USA","United States","2019","10km","Hawaii",5354.17850379647,1182512
