"","GID_0","NAME_0","Year","Distance","NAME_1","buffer_area_km2","pop"
"1","USA","United States","2020","30km","California",122.809669863431,270227
"2","USA","United States","2020","30km","Florida",7099.07513890632,6120589
"3","USA","United States","2020","30km","Hawaii",11998.79708912,1354500
