"","ISO3","NAME_0","Year","Distance","buffer_area_km2","pop"
"1","ABW","Aruba","2019","5km",181.938402839686,104849
"2","AIA","Anguilla","2019","5km",82.7588064675835,15733
"3","ARE","United Arab Emirates","2019","5km",881.463926075626,1518188
"4","ASM","American Samoa","2019","5km",223.40214236525,46148
"5","ATF","French Southern Territories","2019","5km",43.5804712349177,0
"6","ATG","Antigua and Barbuda","2019","5km",386.395902735527,69738
"7","AUS","Australia","2019","5km",16167.5686957137,254181
"8","BES","Bonaire, Sint Eustatius and Saba","2019","5km",309.340983790504,21177
"9","BHR","Bahrain","2019","5km",660.283188633023,1319814
"10","BHS","Bahamas","2019","5km",6051.37995804971,275377
"11","BLM","Saint-Barthélemy","2019","5km",24.7077714822599,6206
"12","BLZ","Belize","2019","5km",691.508153615451,80044
"13","BMU","Bermuda","2019","5km",68.0627244870921,65552
"14","BRA","Brazil","2019","5km",3557.54772332205,3544322
"15","BRB","Barbados","2019","5km",341.226912674534,234217
"16","BRN","Brunei","2019","5km",2.71540737101153,268
"17","CCK","Cocos Islands","2019","5km",13.7097441616949,485
"18","CHN","China","2019","5km",1892.54296040404,1466970
"19","COK","Cook Islands","2019","5km",261.315290585645,6958
"20","COL","Colombia","2019","5km",1189.89792209354,576847
"21","COM","Comoros","2019","5km",1280.80989931336,732851
"22","CRI","Costa Rica","2019","5km",1503.15646279113,136951
"23","CUB","Cuba","2019","5km",9146.2692567777,1704137
"24","CUW","Curaçao","2019","5km",435.977665055845,148498
"25","CXR","Christmas Island","2019","5km",135.171389995118,1721
"26","CYM","Cayman Islands","2019","5km",280.407609765878,56495
"27","DJI","Djibouti","2019","5km",1378.47469615092,546111
"28","DMA","Dominica","2019","5km",478.867011664598,62616
"29","DOM","Dominican Republic","2019","5km",4170.11421047638,1855857
"30","ECU","Ecuador","2019","5km",1141.96909632328,11235
"31","EGY","Egypt","2019","5km",7770.91132983167,666575
"32","ERI","Eritrea","2019","5km",3859.80971427108,244492
"33","FJI","Fiji","2019","5km",7069.31038682044,479305
"34","FSM","Micronesia","2019","5km",737.386017024602,78346
"35","GLP","Guadeloupe","2019","5km",822.881316289021,233671
"36","GRD","Grenada","2019","5km",320.203883120619,104787
"37","GTM","Guatemala","2019","5km",33.3718233812526,174
"38","GUM","Guam","2019","5km",508.608026931867,163090
"39","HKG","Hong Kong","2019","5km",8.17684245632503,267
"40","HND","Honduras","2019","5km",385.827941545897,149426
"41","HTI","Haiti","2019","5km",5112.02251677334,4409208
"42","IDN","Indonesia","2019","5km",115081.038025597,20095910
"43","IND","India","2019","5km",8357.52410843249,6477373
"44","IOT","British Indian Ocean Territory","2019","5km",64.4476741696049,0
"45","IRN","Iran","2019","5km",1403.28923746376,540850
"46","ISR","Israel","2019","5km",23.8978342228669,7509
"47","JAM","Jamaica","2019","5km",2398.9739205765,787734
"48","JOR","Jordan","2019","5km",136.201707674463,142355
"49","JPN","Japan","2019","5km",3370.03322819569,1373620
"50","KEN","Kenya","2019","5km",1918.71922742446,1794028
"51","KHM","Cambodia","2019","5km",306.990171894309,6188
"52","KIR","Kiribati","2019","5km",995.091859254912,66230
"53","KNA","Saint Kitts and Nevis","2019","5km",266.913167047753,50985
"54","KWT","Kuwait","2019","5km",115.109268599264,197660
"55","LCA","Saint Lucia","2019","5km",376.254684568775,137070
"56","LKA","Sri Lanka","2019","5km",1259.04281574406,1315550
"57","MAF","Saint-Martin","2019","5km",50.7911859984633,26282
"58","MDG","Madagascar","2019","5km",10105.4963158463,1925641
"59","MDV","Maldives","2019","5km",298.905258224346,254786
"60","MEX","Mexico","2019","5km",7834.62380359271,2453479
"61","MHL","Marshall Islands","2019","5km",300.282751393591,32781
"62","MMR","Myanmar","2019","5km",3929.07814950163,200765
"63","MNP","Northern Mariana Islands","2019","5km",324.802160020543,48887
"64","MOZ","Mozambique","2019","5km",4323.51462720141,819240
"65","MSR","Montserrat","2019","5km",100.645473903565,5229
"66","MTQ","Martinique","2019","5km",506.920188846149,190092
"67","MUS","Mauritius","2019","5km",1027.28848788857,709950
"68","MYS","Malaysia","2019","5km",4700.39834689596,1471450
"69","MYT","Mayotte","2019","5km",387.157019660848,245350
"70","NCL","New Caledonia","2019","5km",5888.6708088452,162981
"71","NIC","Nicaragua","2019","5km",56.1593447889981,5365
"72","NIU","Niue","2019","5km",235.974008983954,1864
"73","NRU","Nauru","2019","5km",22.1510580966136,5885
"74","OMN","Oman","2019","5km",2444.10274036935,414128
"75","PAN","Panama","2019","5km",3407.81063937794,100834
"76","PCN","Pitcairn Islands","2019","5km",54.1939752707576,14
"77","PHL","Philippines","2019","5km",57143.2188059061,23974583
"78","PLW","Palau","2019","5km",448.35485418872,18994
"79","PNG","Papua New Guinea","2019","5km",25019.419400809,1190960
"80","PRI","Puerto Rico","2019","5km",2014.73029392573,899886
"81","PYF","French Polynesia","2019","5km",2683.41908605281,220706
"82","QAT","Qatar","2019","5km",658.873869475739,102452
"83","REU","Reunion","2019","5km",260.128165176046,210617
"84","SAU","Saudi Arabia","2019","5km",10216.0477665764,2616750
"85","SDN","Sudan","2019","5km",1911.9805313286,94671
"86","SGP","Singapore","2019","5km",92.4082328569761,104985
"87","SLB","Solomon Islands","2019","5km",15483.3656754229,417045
"88","SOM","Somalia","2019","5km",1954.20231766197,1747621
"89","SXM","Sint Maarten","2019","5km",38.0038386027132,40623
"90","SYC","Seychelles","2019","5km",489.983190292018,83828
"91","TCA","Turks and Caicos Islands","2019","5km",555.301834642096,48509
