"","GID_0","NAME_0","Year","Distance","NAME_1","buffer_area_km2","pop"
"1","USA","United States","2020","50km","California",1046.21391832656,1817863
"2","USA","United States","2020","50km","Florida",13190.6558441783,6408182
"3","USA","United States","2020","50km","Hawaii",16590.8888090658,1366704
