"","ISO3","NAME_0","Year","Distance","buffer_area_km2","pop"
"1","ABW","Aruba","2020","5km",181.938402839686,113056
"2","AIA","Anguilla","2020","5km",82.7588064675835,16137
"3","ARE","United Arab Emirates","2020","5km",881.463926075626,1532895
"4","ASM","American Samoa","2020","5km",223.40214236525,43949
"5","ATF","French Southern Territories","2020","5km",43.5804712349177,0
"6","ATG","Antigua and Barbuda","2020","5km",386.395902735527,67984
"7","AUS","Australia","2020","5km",16167.5686957137,302847
"8","BES","Bonaire, Sint Eustatius and Saba","2020","5km",309.340983790504,21142
"9","BHR","Bahrain","2020","5km",660.283188633023,1344564
"10","BHS","Bahamas","2020","5km",6051.37995804971,258828
"11","BLM","Saint-Barthélemy","2020","5km",24.7077714822599,6333
"12","BLZ","Belize","2020","5km",691.508153615451,81329
"13","BMU","Bermuda","2020","5km",68.0627244870921,65667
"14","BRA","Brazil","2020","5km",3557.54772332205,3575061
"15","BRB","Barbados","2020","5km",341.226912674534,234425
"16","BRN","Brunei","2020","5km",2.71540737101153,242
"17","CCK","Cocos Islands","2020","5km",13.7097441616949,493
"18","CHN","China","2020","5km",1892.54296040404,1413539
"19","COK","Cook Islands","2020","5km",261.315290585645,6431
"20","COL","Colombia","2020","5km",1189.89792209354,582873
"21","COM","Comoros","2020","5km",1280.80989931336,743713
"22","CRI","Costa Rica","2020","5km",1503.15646279113,126561
"23","CUB","Cuba","2020","5km",9146.2692567777,1693377
"24","CUW","Curaçao","2020","5km",435.977665055845,147599
"25","CXR","Christmas Island","2020","5km",135.171389995118,1702
"26","CYM","Cayman Islands","2020","5km",280.407609765878,56634
"27","DJI","Djibouti","2020","5km",1378.47469615092,560230
"28","DMA","Dominica","2020","5km",478.867011664598,61828
"29","DOM","Dominican Republic","2020","5km",4170.11421047638,1872448
"30","ECU","Ecuador","2020","5km",1141.96909632328,11375
"31","EGY","Egypt","2020","5km",7770.91132983167,682085
"32","ERI","Eritrea","2020","5km",3859.80971427108,246560
"33","FJI","Fiji","2020","5km",7069.31038682044,481625
"34","FSM","Micronesia","2020","5km",737.386017024602,79146
"35","GLP","Guadeloupe","2020","5km",822.881316289021,217358
"36","GRD","Grenada","2020","5km",320.203883120619,106020
"37","GTM","Guatemala","2020","5km",33.3718233812526,320
"38","GUM","Guam","2020","5km",508.608026931867,164662
"39","HKG","Hong Kong","2020","5km",8.17684245632503,275
"40","HND","Honduras","2020","5km",385.827941545897,135066
"41","HTI","Haiti","2020","5km",5112.02251677334,4390455
"42","IDN","Indonesia","2020","5km",115081.038025597,20174606
"43","IND","India","2020","5km",8357.52410843249,6545548
"44","IOT","British Indian Ocean Territory","2020","5km",64.4476741696049,0
"45","IRN","Iran","2020","5km",1403.28923746376,551674
"46","ISR","Israel","2020","5km",23.8978342228669,7754
"47","JAM","Jamaica","2020","5km",2398.9739205765,721826
"48","JOR","Jordan","2020","5km",136.201707674463,144722
"49","JPN","Japan","2020","5km",3370.03322819569,1440934
"50","KEN","Kenya","2020","5km",1918.71922742446,1950174
"51","KHM","Cambodia","2020","5km",306.990171894309,6264
"52","KIR","Kiribati","2020","5km",995.091859254912,67096
"53","KNA","Saint Kitts and Nevis","2020","5km",266.913167047753,50873
"54","KWT","Kuwait","2020","5km",115.109268599264,198960
"55","LCA","Saint Lucia","2020","5km",376.254684568775,133222
"56","LKA","Sri Lanka","2020","5km",1259.04281574406,1326648
"57","MAF","Saint-Martin","2020","5km",50.7911859984633,27046
"58","MDG","Madagascar","2020","5km",10105.4963158463,1815816
"59","MDV","Maldives","2020","5km",298.905258224346,253727
"60","MEX","Mexico","2020","5km",7834.62380359271,2496181
"61","MHL","Marshall Islands","2020","5km",300.282751393591,33503
"62","MMR","Myanmar","2020","5km",3929.07814950163,302779
"63","MNP","Northern Mariana Islands","2020","5km",324.802160020543,47983
"64","MOZ","Mozambique","2020","5km",4323.51462720141,902713
"65","MSR","Montserrat","2020","5km",100.645473903565,5269
"66","MTQ","Martinique","2020","5km",506.920188846149,174580
"67","MUS","Mauritius","2020","5km",1027.28848788857,711758
"68","MYS","Malaysia","2020","5km",4700.39834689596,1488973
"69","MYT","Mayotte","2020","5km",387.157019660848,261640
"70","NCL","New Caledonia","2020","5km",5888.6708088452,161048
"71","NIC","Nicaragua","2020","5km",56.1593447889981,2789
"72","NIU","Niue","2020","5km",235.974008983954,1864
"73","NRU","Nauru","2020","5km",22.1510580966136,6586
"74","OMN","Oman","2020","5km",2444.10274036935,543632
"75","PAN","Panama","2020","5km",3407.81063937794,101693
"76","PCN","Pitcairn Islands","2020","5km",54.1939752707576,14
"77","PHL","Philippines","2020","5km",57143.2188059061,24305698
"78","PLW","Palau","2020","5km",448.35485418872,18965
"79","PNG","Papua New Guinea","2020","5km",25019.419400809,1196331
"80","PRI","Puerto Rico","2020","5km",2014.73029392573,962259
"81","PYF","French Polynesia","2020","5km",2683.41908605281,226202
"82","QAT","Qatar","2020","5km",658.873869475739,104407
"83","REU","Reunion","2020","5km",260.128165176046,210836
"84","SAU","Saudi Arabia","2020","5km",10216.0477665764,2651747
"85","SDN","Sudan","2020","5km",1911.9805313286,98133
"86","SGP","Singapore","2020","5km",92.4082328569761,105979
"87","SLB","Solomon Islands","2020","5km",15483.3656754229,420458
"88","SOM","Somalia","2020","5km",1954.20231766197,1793310
"89","SXM","Sint Maarten","2020","5km",38.0038386027132,40026
"90","SYC","Seychelles","2020","5km",489.983190292018,84154
"91","TCA","Turks and Caicos Islands","2020","5km",555.301834642096,48798
"92","THA","Thailand","2020","5km",1842.60915640992,448624
"93","TKL","Tokelau","2020","5km",15.667142769532,391
"94","TLS","Timor-Leste","2020","5km",1864.6761435348,406444
"95","TON","Tonga","2020","5km",710.436305204349,96597
"96","TTO","Trinidad and Tobago","2020","5km",405.536031340096,52498
"97","TUV","Tuvalu","2020","5km",41.7256053057579,6016
"98","TWN","Taiwan","2020","5km",1635.355549296,394096
"99","TZA","Tanzania","2020","5km",5739.6017414059,4464022
"100","UMI","United States Minor Outlying Islands","2020","5km",47.2682503712191,40
"101","USA","United States","2020","5km",3552.46168455511,2135796
"102","VCT","Saint Vincent and the Grenadines","2020","5km",85.0009940023548,45324
"103","VEN","Venezuela","2020","5km",1568.38531797302,477881
"104","VGB","British Virgin Islands","2020","5km",169.356708834682,33089
"105","VIR","Virgin Islands, U.S.","2020","5km",357.240123132954,97250
"106","VNM","Vietnam","2020","5km",2755.02376824926,1744340
"107","VUT","Vanuatu","2020","5km",7568.26420749274,232480
"108","WLF","Wallis and Futuna","2020","5km",155.740831769511,13229
"109","WSM","Samoa","2020","5km",1560.45522650539,167910
"110","XCL","Clipperton Island","2020","5km",10.0973004127489,0
"111","XPI","Paracel Islands","2020","5km",19.6775404579778,208
"112","XSP","Spratly Islands","2020","5km",1.87468551044417,110
"113","YEM","Yemen","2020","5km",2582.10682638882,640737
"114","ZAF","South Africa","2020","5km",83.2700130170211,625
