"","ISO3","NAME_0","Year","Distance","buffer_area_km2","pop"
"1","ABW","Aruba","2019","10km",181.938402839686,104849
"2","AIA","Anguilla","2019","10km",82.7588064675836,15733
"3","ARE","United Arab Emirates","2019","10km",2234.40794976623,3612821
"4","ASM","American Samoa","2019","10km",223.40214236525,46148
"5","ATF","French Southern Territories","2019","10km",43.5804712349177,0
"6","ATG","Antigua and Barbuda","2019","10km",434.942995202419,92593
"7","AUS","Australia","2019","10km",37467.2381507462,749493
"8","BES","Bonaire, Sint Eustatius and Saba","2019","10km",320.432183927288,22648
"9","BHR","Bahrain","2019","10km",715.125475983707,1323367
"10","BHS","Bahamas","2019","10km",9409.58825044221,317683
"11","BLM","Saint-Barthélemy","2019","10km",24.7077714822599,6206
"12","BLZ","Belize","2019","10km",1392.39591409803,98135
"13","BMU","Bermuda","2019","10km",68.0627244870921,65552
"14","BRA","Brazil","2019","10km",8739.83806435795,7549740
"15","BRB","Barbados","2019","10km",434.639641225766,290171
"16","BRN","Brunei","2019","10km",89.2164950154333,32510
"17","CCK","Cocos Islands","2019","10km",13.7097441616949,485
"18","CHN","China","2019","10km",4389.68503058062,3357507
"19","COK","Cook Islands","2019","10km",261.315290585645,6958
"20","COL","Colombia","2019","10km",3469.83813656269,1534286
"21","COM","Comoros","2019","10km",1667.00581588111,770719
"22","CRI","Costa Rica","2019","10km",3847.08832227332,196742
"23","CUB","Cuba","2019","10km",19123.2493065709,2831667
"24","CUW","Curaçao","2019","10km",436.34211722174,148818
"25","CXR","Christmas Island","2019","10km",139.61034367312,1721
"26","CYM","Cayman Islands","2019","10km",280.407609765878,56495
"27","DJI","Djibouti","2019","10km",2902.6874207106,644684
"28","DMA","Dominica","2019","10km",753.390461125835,67142
"29","DOM","Dominican Republic","2019","10km",8657.78679082833,4358165
"30","ECU","Ecuador","2019","10km",2372.52464392816,11627
"31","EGY","Egypt","2019","10km",15184.5958550326,1057024
"32","ERI","Eritrea","2019","10km",7348.38299678321,289477
"33","FJI","Fiji","2019","10km",10341.3290230325,707698
"34","FSM","Micronesia","2019","10km",774.856625280964,78346
"35","GLP","Guadeloupe","2019","10km",1238.31855788424,308574
"36","GRD","Grenada","2019","10km",359.530958549701,106008
"37","GTM","Guatemala","2019","10km",121.676344112251,15706
"38","GUM","Guam","2019","10km",549.794316053389,164389
"39","HKG","Hong Kong","2019","10km",75.6828056912438,1270
"40","HND","Honduras","2019","10km",918.350397972399,170655
"41","HTI","Haiti","2019","10km",10200.9109534809,6817976
"42","IDN","Indonesia","2019","10km",210602.761073363,37933681
"43","IND","India","2019","10km",17354.5332172695,22399794
"44","IOT","British Indian Ocean Territory","2019","10km",64.4476741696049,0
"45","IRN","Iran","2019","10km",3702.13918195146,720632
"46","ISR","Israel","2019","10km",91.3323713768897,59483
"47","JAM","Jamaica","2019","10km",4781.17925392467,1578810
"48","JOR","Jordan","2019","10km",305.324037074377,152507
"49","JPN","Japan","2019","10km",4161.16849511745,1464709
"50","KEN","Kenya","2019","10km",4111.07493005714,2265538
"51","KHM","Cambodia","2019","10km",764.706446598053,147624
"52","KIR","Kiribati","2019","10km",1012.08209593034,66230
"53","KNA","Saint Kitts and Nevis","2019","10km",267.120724961901,50985
"54","KWT","Kuwait","2019","10km",384.932223322278,1213876
"55","LCA","Saint Lucia","2019","10km",608.447381779905,158250
"56","LKA","Sri Lanka","2019","10km",3208.28366172376,2325809
"57","MAF","Saint-Martin","2019","10km",56.1677442916258,29433
