"","ISO3","NAME_0","Year","Distance","buffer_area_km2","pop"
"1","ABW","Aruba","2019","100km",181.938402839687,104849
"2","AIA","Anguilla","2019","100km",83.3033093991381,15733
"3","ARE","United Arab Emirates","2019","100km",47279.5031156257,8687038
"4","ASM","American Samoa","2019","100km",223.40214236525,46148
"5","ATF","French Southern Territories","2019","100km",43.5804712349176,0
"6","ATG","Antigua and Barbuda","2019","100km",435.809951969794,92593
"7","AUS","Australia","2019","100km",622817.538844316,9225013
"8","BES","Bonaire, Sint Eustatius and Saba","2019","100km",323.694202070856,22989
"9","BGD","Bangladesh","2019","100km",1864.15400353159,2070992
"10","BHR","Bahrain","2019","100km",715.125475983706,1323367
"11","BHS","Bahamas","2019","100km",13388.0799764506,317939
"12","BLM","Saint-Barthélemy","2019","100km",24.7077714822598,6206
"13","BLZ","Belize","2019","100km",21905.9249365681,377160
"14","BMU","Bermuda","2019","100km",68.0627244870921,65552
"15","BRA","Brazil","2019","100km",153631.584248667,21733558
"16","BRB","Barbados","2019","100km",434.639641225766,290171
"17","BRN","Brunei","2019","100km",5777.79991355049,450571
"18","CCK","Cocos Islands","2019","100km",13.7097441616949,485
"19","CHN","China","2019","100km",99088.3234433109,72513145
"20","COK","Cook Islands","2019","100km",261.315290585645,6958
"21","COL","Colombia","2019","100km",99372.6951374339,8807369
"22","COM","Comoros","2019","100km",1673.14999173558,770719
"23","CRI","Costa Rica","2019","100km",46181.5308122794,4875517
"24","CUB","Cuba","2019","100km",110730.653818068,10968406
"25","CUW","Curaçao","2019","100km",437.711430289881,148818
"26","CXR","Christmas Island","2019","100km",139.61034367312,1721
"27","CYM","Cayman Islands","2019","100km",280.407609765878,56495
"28","DJI","Djibouti","2019","100km",21852.8810479821,875781
"29","DMA","Dominica","2019","100km",754.214293754349,67142
"30","DOM","Dominican Republic","2019","100km",48092.0955139662,10339087
"31","ECU","Ecuador","2019","100km",7988.52724632361,30529
"32","EGY","Egypt","2019","100km",141355.299388876,4747377
"33","ERI","Eritrea","2019","100km",62499.192219945,3552681
"34","ETH","Ethiopia","2019","100km",19727.5602507076,422673
"35","FJI","Fiji","2019","100km",18963.4827215602,891291
"36","FSM","Micronesia","2019","100km",774.856625280964,78346
"37","GLP","Guadeloupe","2019","100km",1650.23696712201,370712
"38","GRD","Grenada","2019","100km",359.530958549701,106008
"39","GTM","Guatemala","2019","100km",22666.8868552653,3038126
"40","GUM","Guam","2019","100km",549.794316053661,164389
"41","HKG","Hong Kong","2019","100km",1129.27999031447,6965720
"42","HND","Honduras","2019","100km",40059.0386651497,3788754
"43","HTI","Haiti","2019","100km",27106.7492258242,10748388
"44","IDN","Indonesia","2019","100km",1030328.97996824,225842134
"45","IND","India","2019","100km",268747.321604863,143862524
"46","IOT","British Indian Ocean Territory","2019","100km",64.4476741696049,0
"47","IRN","Iran","2019","100km",116831.027286033,4618780
"48","IRQ","Iraq","2019","100km",3390.83352111898,218645
"49","ISR","Israel","2019","100km",3193.78108274108,67141
"50","JAM","Jamaica","2019","100km",11000.0339419278,2772441
"51","JOR","Jordan","2019","100km",9786.62562703191,255757
"52","JPN","Japan","2019","100km",8584.48499787644,2413384
"53","KEN","Kenya","2019","100km",47047.7555528317,4289813
"54","KHM","Cambodia","2019","100km",30279.6494317093,2572874
"55","KIR","Kiribati","2019","100km",1012.08209593034,66230
"56","KNA","Saint Kitts and Nevis","2019","100km",267.120724961901,50985
"57","KWT","Kuwait","2019","100km",16714.8803447458,2932922
"58","LAO","Laos","2019","100km",9329.96582648336,55424
"59","LCA","Saint Lucia","2019","100km",614.429762727121,158250
"60","LKA","Sri Lanka","2019","100km",62600.5886779125,20221689
"61","MAC","Macao","2019","100km",34.1287730934866,606549
"62","MAF","Saint-Martin","2019","100km",56.1677442916259,29433
"63","MDG","Madagascar","2019","100km",303469.852069274,12151893
"64","MDV","Maldives","2019","100km",299.684623448732,254802
"65","MEX","Mexico","2019","100km",570592.887277408,28999164
"66","MHL","Marshall Islands","2019","100km",300.282751393591,32781
"67","MMR","Myanmar","2019","100km",109548.614135415,7995879
"68","MNP","Northern Mariana Islands","2019","100km",409.193930530349,48887
"69","MOZ","Mozambique","2019","100km",139940.593824914,10364816
"70","MSR","Montserrat","2019","100km",100.645473903565,5229
"71","MTQ","Martinique","2019","100km",1117.98246840907,352432
"72","MUS","Mauritius","2019","100km",2027.40992123574,1325576
"73","MYS","Malaysia","2019","100km",161053.088486852,18496970
"74","MYT","Mayotte","2019","100km",391.665902424275,245401
"75","NCL","New Caledonia","2019","100km",18825.3934459647,264507
"76","NIC","Nicaragua","2019","100km",36719.884078288,679464
"77","NIU","Niue","2019","100km",266.670100392882,1864
"78","NRU","Nauru","2019","100km",22.1510580966136,5885
"79","OMN","Oman","2019","100km",111832.842677226,2700446
"80","PAK","Pakistan","2019","100km",0.521101011250412,0
"81","PAN","Panama","2019","100km",74395.4321459053,3816274
"82","PCN","Pitcairn Islands","2019","100km",54.1939752707576,14
"83","PHL","Philippines","2019","100km",295754.44102721,105087899
"84","PLW","Palau","2019","100km",487.506089064966,19237
"85","PNG","Papua New Guinea","2019","100km",212379.420571092,3233058
"86","PRI","Puerto Rico","2019","100km",8970.47374321585,3206628
"87","PYF","French Polynesia","2019","100km",3063.78448663383,220803
"88","QAT","Qatar","2019","100km",11625.1110520431,2373051
"89","REU","Reunion","2019","100km",2512.65206471435,840170
"90","SAU","Saudi Arabia","2019","100km",236865.770922991,15637831
"91","SDN","Sudan","2019","100km",69216.0293258255,1735729
"92","SGP","Singapore","2019","100km",697.024675791672,6078480
"93","SLB","Solomon Islands","2019","100km",28532.8275727105,527910
"94","SOM","Somalia","2019","100km",74386.7139340488,3717987
"95","SWZ","Swaziland","2019","100km",2366.4098644201,87528
"96","SXM","Sint Maarten","2019","100km",38.007183115797,40623
"97","SYC","Seychelles","2019","100km",491.20003812067,83828
"98","TCA","Turks and Caicos Islands","2019","100km",991.45112604364,51326
"99","THA","Thailand","2019","100km",97137.6460312381,25642836
"100","TKL","Tokelau","2019","100km",15.667142769532,364
"101","TLS","Timor-Leste","2019","100km",14915.4772828139,1332645
"102","TON","Tonga","2019","100km",710.918665431546,97743
"103","TTO","Trinidad and Tobago","2019","100km",5018.87523390987,1191926
"104","TUV","Tuvalu","2019","100km",41.7256053057579,6012
"105","TWN","Taiwan","2019","100km",35432.7278767699,21889034
"106","TZA","Tanzania","2019","100km",83789.1996530452,12151053
"107","UMI","United States Minor Outlying Islands","2019","100km",47.2682503712191,40
"108","USA","United States","2019","100km",54382.5751739004,11477790
"109","VCT","Saint Vincent and the Grenadines","2019","100km",397.945402476239,90832
"110","VEN","Venezuela","2019","100km",82050.6295614438,13378353
"111","VGB","British Virgin Islands","2019","100km",169.356708834683,33265
"112","VIR","Virgin Islands, U.S.","2019","100km",362.159801764775,100450
"113","VNM","Vietnam","2019","100km",149374.924581968,55595864
"114","VUT","Vanuatu","2019","100km",12318.9857731128,256015
"115","WLF","Wallis and Futuna","2019","100km",155.740831769972,13376
"116","WSM","Samoa","2019","100km",2853.35947333386,182284
"117","XCL","Clipperton Island","2019","100km",10.0973004127489,0
"118","XPI","Paracel Islands","2019","100km",19.6775404555954,208
"119","XSP","Spratly Islands","2019","100km",1.87468551044417,64
"120","YEM","Yemen","2019","100km",91728.7204930779,11829523
"121","ZAF","South Africa","2019","100km",7720.38471468205,375651
